/* DATA DESCRIPTION:
	TARA_057 * LATITUDE: -17.026300 * LONGITUDE: 42.742500 * DATE/TIME START: 2010-06-27T00:00:00 * DATE/TIME END: 2010-06-28T00:00:00 * CAMPAIGN: TARA_20100624Z (Mamoudzou to Cape Town, Stations: TARA_055-066) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_058 * LATITUDE: -17.454800 * LONGITUDE: 42.319700 * DATE/TIME START: 2010-06-28T00:00:00 * DATE/TIME END: 2010-06-29T00:00:00 * CAMPAIGN: TARA_20100624Z (Mamoudzou to Cape Town, Stations: TARA_055-066) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_059 * LATITUDE: -19.062600 * LONGITUDE: 40.803000 * DATE/TIME START: 2010-06-30T00:00:00 * DATE/TIME END: 2010-06-30T00:00:00 * CAMPAIGN: TARA_20100624Z (Mamoudzou to Cape Town, Stations: TARA_055-066) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_060 * LATITUDE: -20.233500 * LONGITUDE: 40.089700 * DATE/TIME START: 2010-07-01T00:00:00 * DATE/TIME END: 2010-07-01T00:00:00 * CAMPAIGN: TARA_20100624Z (Mamoudzou to Cape Town, Stations: TARA_055-066) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_061 * LATITUDE: -21.366200 * LONGITUDE: 39.546700 * DATE/TIME START: 2010-07-02T00:00:00 * DATE/TIME END: 2010-07-02T00:00:00 * CAMPAIGN: TARA_20100624Z (Mamoudzou to Cape Town, Stations: TARA_055-066) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_062 * LATITUDE: -22.338700 * LONGITUDE: 40.181900 * DATE/TIME START: 2010-07-03T00:00:00 * DATE/TIME END: 2010-07-04T00:00:00 * CAMPAIGN: TARA_20100624Z (Mamoudzou to Cape Town, Stations: TARA_055-066) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_063 * LATITUDE: -24.482300 * LONGITUDE: 38.688200 * DATE/TIME START: 2010-07-05T00:00:00 * DATE/TIME END: 2010-07-05T00:00:00 * CAMPAIGN: TARA_20100624Z (Mamoudzou to Cape Town, Stations: TARA_055-066) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_064 * LATITUDE: -29.508300 * LONGITUDE: 37.929200 * DATE/TIME START: 2010-07-07T00:00:00 * DATE/TIME END: 2010-07-08T00:00:00 * CAMPAIGN: TARA_20100624Z (Mamoudzou to Cape Town, Stations: TARA_055-066) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_065 * LATITUDE: -35.226000 * LONGITUDE: 26.334400 * DATE/TIME START: 2010-07-12T00:00:00 * DATE/TIME END: 2010-07-12T00:00:00 * CAMPAIGN: TARA_20100624Z (Mamoudzou to Cape Town, Stations: TARA_055-066) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_066 * LATITUDE: -34.905400 * LONGITUDE: 18.016300 * DATE/TIME START: 2010-07-15T00:00:00 * DATE/TIME END: 2010-07-15T00:00:00 * CAMPAIGN: TARA_20100624Z (Mamoudzou to Cape Town, Stations: TARA_055-066) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
