sample	Cruise	Cruise Name	Station	BODC Station	BODC Bottle Number	Latitude	Longitude	DEPTH [m]	Bot. Depth [m]	PRESSURE [dbar]	CTDTMP [deg C]	CTDSAL	SALINITY_D_CONC_BOTTLE	CFC-11_D_CONC_BOTTLE [pmol/kg]	CFC-12_D_CONC_BOTTLE [pmol/kg]	OXYGEN_D_CONC_BOTTLE [umol/kg]	CTDOXY [umol/kg]	PHOSPHATE_D_CONC_BOTTLE [umol/kg]	SILICATE_D_CONC_BOTTLE [umol/kg]	NITRATE_D_CONC_BOTTLE [umol/kg]	NITRITE_D_CONC_BOTTLE [umol/kg]	TALK_D_CONC_BOTTLE [umol/kg]	DIC_D_CONC_BOTTLE [umol/kg]	DOC_D_CONC_BOTTLE [umol/kg]	TN_T_CONC_BOTTLE [umol/kg]	H2O_2_1_D_DELTA_BOTTLE [per mil]	H2O_18_16_D_DELTA_BOTTLE [per mil]	Al_D_CONC_BOTTLE [nmol/kg]	Ba_D_CONC_BOTTLE [nmol/kg]	Cd_D_CONC_BOTTLE [nmol/kg]	Co_D_CONC_BOTTLE [pmol/kg]	Fe_D_CONC_BOTTLE [nmol/kg]	Mn_D_CONC_BOTTLE [nmol/kg]	Mo_D_CONC_BOTTLE [nmol/kg]	Ni_D_CONC_BOTTLE [nmol/kg]	Pb_D_CONC_BOTTLE [pmol/kg]	U_D_CONC_BOTTLE [nmol/kg]	Zn_D_CONC_BOTTLE [nmol/kg]	Y_D_CONC_BOTTLE [pmol/kg]	La_D_CONC_BOTTLE [pmol/kg]	Nd_D_CONC_BOTTLE [pmol/kg]	Nd_143_144_D_EPSILON_BOTTLE [per 10000]	Cd_114_110_D_DELTA_BOTTLE [per mil]	Pa_231_D_CONC_BOTTLE [uBq/kg]	Th_230_D_CONC_BOTTLE [uBq/kg]	Th_232_D_CONC_BOTTLE [pmol/kg]	Th_234_T_CONC_BOTTLE [mBq/kg]	Th_234_LPT_CONC_PUMP [mBq/kg]
S0184	GA02	JC057	011	1629743	639764	-26.0891	-34.27911	10	4575	10.1	25.91	36.514999	NA	1.574	1.022	173.600006	201.7	0.02	0.35	0	0.03	2390	2052.399902	171.707321	NA	6.96	0.15	5.687805	40.899513	0.0024	14.360976	0.24	1.151219	147.505371	2.51	22.08	13.382439	0.24	86.540001	10.38	NA	NA	NA	NA	NA	NA	37.10244	NA
S0185	GA02	JC057	011	1629743	639758	-26.0891	-34.27911	50	4575	50.3	23.052	36.736	NA	1.897	1.198	NA	230.2	0.02	0.67	0	0.03	2405.699951	2073.199951	129.756104	NA	6.47	0.12	5.063415	41.034145	0.0041	NA	0.13	1.073171	147.709274	2.39	31.299999	13.157073	3.88	87.379997	10.53	NA	NA	NA	NA	NA	NA	33.219513	NA
S0186	GA02	JC057	011	1629743	639749	-26.0891	-34.27911	151	4575	152	20.14	36.389	NA	2.028	1.277	NA	208.6	0.12	0.85	0.5	0.05	2388.100098	2093.699951	NA	NA	4.21	-0.01	3.317073	41.055611	0.003	NA	1.54	0.634146	148.116104	2.57	19.24	12.816585	0.05	88.519997	9.86	NA	NA	NA	NA	NA	NA	40.400002	NA
S0187	GA02	JC057	012	1629771	638351	-22.4715	-32.74437999999998	9	4527	9.1	26.381	36.466999	NA	1.545	1.018	202.5	201.6	0.03	0.41	0	0.01	2389.300049	2050.600098	145.365845	NA	5.83	0.8	4.760976	37.489758	7e-4	19.165854	0.11	1.063415	147.994156	2.31	22.139999	12.968781	0.74	86.089996	10.09	NA	NA	NA	0.910537	1.560976	0.155441	36.682926	NA
S0188	GA02	JC057	012	1629771	638345	-22.4715	-32.74437999999998	49	4527	49.3	24.709	36.598	NA	1.833	1.179	200.699997	223.7	0.02	0.72	0	0.01	2399.800049	2061.5	113.170731	NA	6.43	0.78	4.965854	39.542439	3e-4	18.097561	0.05	1.053658	151.247803	2.31	20.77	12.939512	0.04	85.059998	9.69	NA	NA	NA	NA	NA	NA	37.648781	NA
S0189	GA02	JC057	012	1629771	638336	-22.4715	-32.74437999999998	150	4527	151	19.512	36.254002	NA	2.144	1.346	NA	213.7	0.11	0.94	0.48	0.04	2377.100098	2087.600098	NA	NA	4.13	0.77	3.892683	39.07317	0.0021	28.243902	0.1	0.829268	147.373657	2.36	18.889999	12.98439	0.05	87.720001	9.88	NA	NA	NA	NA	NA	NA	40.760975	0.43122
S0190	GA02	JC057	013	1629785	638561	-17.0168	-30.599210000000028	49	4911	49.3	27.643	37.48	NA	1.489	0.988	NA	200.7	0.04	0.56	0	0	2456.100098	2089.300049	161.951218	NA	7.53	0.92	10.780488	43.655609	0.004	22.419512	0.04	1.521951	151.135605	2.24	14.85	13.611706999999999	0.05	99.830002	15.84	NA	NA	NA	NA	NA	NA	39.648781	NA
S0195	GA02	JC057	013	1629785	638552	-17.0168	-30.599210000000028	143	4911	143.9	22.135	36.754002	NA	1.84	1.216	NA	196.4	0.2	0.85	0.36	0.12	2410.300049	2110.100098	NA	NA	5.23	0.68	4.282927	46.22049	0.0021	33.960976	0.35	1.004878	144.780487	2.31	14.28	13.300488	0.06	91.959999	12.09	NA	NA	NA	NA	NA	NA	40.89756	NA
S0191	GA02	JC057	014	1629799	638711	-12.894	-29.227289999999982	10	5407	10.1	28.108	37.008999	37.062	1.467	0.963	195.800003	195.3	0.09	0.48	0	0.02	2429.699951	2078.300049	259.512207	NA	7.41	0.98	12.614634	42.774635	0.0013	27.512196	0.1	1.658537	148.461456	2.47	16.27	12.976585	0.17	101.040001	16.5	NA	NA	NA	0.682927	1.577268	0.120933	36.62439	NA
S0192	GA02	JC057	014	1629799	638705	-12.894	-29.227289999999982	49	5407	49.3	27.266	37.217999	NA	1.51	1.012	NA	200.6	0.1	0.45	0	0.02	2441.300049	2085.600098	219.512207	NA	7.47	0.97	13.092683	43.038048	0.0013	NA	0.07	1.687805	144.821457	2.32	15.91	13.235122	0.02	101.529999	16.440001	NA	NA	NA	NA	NA	NA	38.702438	NA
